epoch;loss
0;0.022576814517378807
1;0.004584571812301874
2;0.004517808556556702
3;0.0045737652108073235
4;0.004458881914615631
5;0.0049723428674042225
6;0.004760893527418375
7;0.004439349286258221
8;0.00426908815279603
9;0.004151097498834133
10;0.0043492745608091354
11;0.003993078600615263
12;0.004264426417648792
13;0.003930395934730768
14;0.004063835367560387
15;0.004064080771058798
16;0.004202266689389944
17;0.004408102948218584
18;0.003964735195040703
19;0.003996523562818766
20;0.0038598664104938507
21;0.003937012515962124
22;0.004021869506686926
23;0.0038516861386597157
24;0.0036930155474692583
25;0.0040060305036604404
26;0.0038475787732750177
27;0.0036049229092895985
28;0.003829757682979107
29;0.0036254115402698517
30;0.0037173288874328136
31;0.0037076957523822784
32;0.0039273956790566444
33;0.003742167027667165
34;0.0036852334160357714
35;0.0036572946701198816
36;0.00376858445815742
37;0.003720249515026808
38;0.003614617045968771
39;0.0037015238776803017
40;0.00354882818646729
41;0.0036213432904332876
42;0.003515741555020213
43;0.0034915234427899122
44;0.0035661044530570507
45;0.003640088951215148
46;0.003210477763786912
47;0.0035479674115777016
48;0.003528943983837962
49;0.0034213257022202015
50;0.0033647401724010706
51;0.003553069429472089
52;0.0035222573205828667
53;0.0035411680582910776
54;0.0034723030403256416
55;0.003493138123303652
56;0.0034847108181566
57;0.003445287700742483
58;0.0036269419360905886
59;0.0032468540593981743
60;0.0034839422442018986
61;0.0033435190562158823
62;0.0032188447657972574
63;0.003199926344677806
64;0.0034380159340798855
65;0.0033447332680225372
66;0.003269428852945566
67;0.003414917504414916
68;0.003143058391287923
69;0.003120103385299444
70;0.003258641343563795
71;0.003298575524240732
72;0.0031004357151687145
73;0.003221625229343772
74;0.0034449321683496237
75;0.0030187068041414022
76;0.0034557359758764505
77;0.003591357497498393
78;0.003270776243880391
79;0.003149487543851137
80;0.003095123451203108
81;0.003083137795329094
82;0.00342385726980865
83;0.0030711812432855368
84;0.0032306858338415623
85;0.003088496159762144
86;0.0032066579442471266
87;0.0030856309458613396
88;0.003078750567510724
89;0.0031748898327350616
90;0.0029602288268506527
91;0.0031712001655250788
92;0.003015305381268263
93;0.003129448276013136
94;0.0029174869414418936
95;0.0029767469968646765
96;0.002987141255289316
97;0.003067789599299431
98;0.003178901271894574
99;0.00295741087757051
