date,bitcoin,cryptocurrency,blockchain+bitcoin
2016-08-14,2.0,0.0,3.0
2016-08-21,2.0,0.0,3.0
2016-08-28,2.0,0.0,3.0
2016-09-04,2.0,0.0,3.0
2016-09-11,2.0,0.0,3.0
2016-09-18,2.0,0.0,3.0
2016-09-25,2.0,0.0,3.0
2016-10-02,2.0,0.0,3.0
2016-10-09,3.0,0.0,3.0
2016-10-16,2.0,0.0,3.0
2016-10-23,3.0,0.0,4.0
2016-10-30,3.0,0.0,4.0
2016-11-06,3.0,0.0,4.0
2016-11-13,3.0,0.0,4.0
2016-11-20,3.0,0.0,4.0
2016-11-27,3.0,0.0,4.0
2016-12-04,3.0,0.0,4.0
2016-12-11,3.0,0.0,4.0
2016-12-18,4.0,0.0,5.0
2016-12-25,4.0,0.0,5.0
2017-01-01,7.0,0.0,7.0
2017-01-08,5.0,0.0,6.0
2017-01-15,4.0,0.0,5.0
2017-01-22,4.0,0.0,5.0
2017-01-29,4.0,0.0,5.0
2017-02-05,4.0,0.0,5.0
2017-02-12,4.0,0.0,5.0
2017-02-19,5.0,0.0,6.0
2017-02-26,6.0,0.0,7.0
2017-03-05,7.0,0.0,7.0
2017-03-12,6.0,0.0,6.0
2017-03-19,5.0,0.0,6.0
2017-03-26,5.0,0.0,5.0
2017-04-02,5.0,0.0,5.0
2017-04-09,5.0,0.0,5.0
2017-04-16,5.0,0.0,5.0
2017-04-23,5.0,0.0,6.0
2017-04-30,7.0,0.0,8.0
2017-05-07,9.0,1.0,10.0
2017-05-14,11.0,1.0,12.0
2017-05-21,19.0,1.0,20.0
2017-05-28,12.0,1.0,13.0
2017-06-04,12.0,1.0,13.0
2017-06-11,13.0,1.0,14.0
2017-06-18,10.0,1.0,12.0
2017-06-25,10.0,1.0,12.0
2017-07-02,9.0,1.0,10.0
2017-07-09,10.0,1.0,11.0
2017-07-16,12.0,1.0,13.0
2017-07-23,11.0,1.0,11.0
2017-07-30,14.0,1.0,15.0
2017-08-06,14.0,1.0,15.0
2017-08-13,19.0,2.0,21.0
2017-08-20,15.0,2.0,17.0
2017-08-27,17.0,2.0,18.0
2017-09-03,18.0,2.0,19.0
2017-09-10,20.0,2.0,22.0
2017-09-17,15.0,1.0,17.0
2017-09-24,12.0,1.0,14.0
2017-10-01,12.0,1.0,14.0
2017-10-08,18.0,2.0,20.0
2017-10-15,20.0,2.0,21.0
2017-10-22,20.0,2.0,22.0
2017-10-29,27.0,2.0,29.0
2017-11-05,28.0,2.0,30.0
2017-11-12,31.0,2.0,32.0
2017-11-19,27.0,2.0,29.0
2017-11-26,63.0,4.0,66.0
2017-12-03,87.0,6.0,91.0
2017-12-10,83.0,8.0,86.0
2017-12-17,94.0,9.0,100.0
2017-12-24,60.0,8.0,64.0
2017-12-31,46.0,10.0,50.0
2018-01-07,44.0,10.0,47.0
2018-01-14,57.0,10.0,58.0
2018-01-21,37.0,6.0,40.0
2018-01-28,40.0,6.0,42.0
2018-02-04,47.0,6.0,48.0
2018-02-11,26.0,3.0,29.0
2018-02-18,23.0,3.0,26.0
2018-02-25,18.0,3.0,21.0
2018-03-04,19.0,3.0,21.0
2018-03-11,18.0,3.0,21.0
2018-03-18,17.0,2.0,20.0
2018-03-25,18.0,2.0,20.0
2018-04-01,16.0,2.0,18.0
2018-04-08,15.0,2.0,18.0
2018-04-15,14.0,2.0,16.0
2018-04-22,14.0,2.0,17.0
2018-04-29,12.0,2.0,14.0
2018-05-06,12.0,2.0,14.0
2018-05-13,11.0,2.0,13.0
2018-05-20,11.0,2.0,13.0
2018-05-27,10.0,1.0,12.0
2018-06-03,9.0,1.0,11.0
2018-06-10,12.0,2.0,14.0
2018-06-17,10.0,1.0,12.0
2018-06-24,11.0,1.0,12.0
2018-07-01,9.0,1.0,11.0
2018-07-08,9.0,1.0,11.0
2018-07-15,11.0,1.0,13.0
2018-07-22,12.0,1.0,14.0
2018-07-29,10.0,1.0,11.0
2018-08-05,11.0,1.0,12.0
2018-08-12,10.0,1.0,12.0
2018-08-19,10.0,1.0,11.0
2018-08-26,9.0,1.0,12.0
2018-09-02,11.0,1.0,12.0
2018-09-09,9.0,1.0,11.0
2018-09-16,9.0,1.0,11.0
2018-09-23,8.0,1.0,10.0
2018-09-30,8.0,1.0,9.0
2018-10-07,8.0,1.0,10.0
2018-10-14,8.0,1.0,9.0
2018-10-21,8.0,1.0,9.0
2018-10-28,7.0,1.0,9.0
2018-11-04,8.0,1.0,10.0
